tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1348, b_ADM1_PCODE: EC05, b_ADM2_PCODE: EC0506, b_ADM1_ES: Cotopaxi, b_ADM2_ES: Saquisili, au_area_km2: 205.35

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1349, b_ADM1_PCODE: EC05, b_ADM2_PCODE: EC0507, b_ADM1_ES: Cotopaxi, b_ADM2_ES: Sigchos, au_area_km2: 1351.34

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1351, b_ADM1_PCODE: EC05, b_ADM2_PCODE: EC0504, b_ADM1_ES: Cotopaxi, b_ADM2_ES: Pujili, au_area_km2: 1299.7

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1395, b_ADM1_PCODE: EC04, b_ADM2_PCODE: EC0401, b_ADM1_ES: Carchi, b_ADM2_ES: Tulcan, au_area_km2: 1820.81

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1396, b_ADM1_PCODE: CO52, b_ADM2_PCODE: CO52788, b_ADM1_ES: Nariño, b_ADM2_ES: Tangua, au_area_km2: 217.24

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1397, b_ADM1_PCODE: CO52, b_ADM2_PCODE: CO52001, b_ADM1_ES: Nariño, b_ADM2_ES: Pasto, au_area_km2: 1096.11

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 252, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5205521, b_ADM1_PT: Goiás, b_ADM2_PT: Colinas do Sul, au_area_km2: 1708.05

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 253, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5204656, b_ADM1_PT: Goiás, b_ADM2_PT: Campinaçu, au_area_km2: 1974.34

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 254, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5208103, b_ADM1_PT: Goiás, b_ADM2_PT: Formoso, au_area_km2: 844.66

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 255, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5221080, b_ADM1_PT: Goiás, b_ADM2_PT: Teresina de Goiás, au_area_km2: 774.34

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 256, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5213087, b_ADM1_PT: Goiás, b_ADM2_PT: Minaçu, au_area_km2: 2861.07

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 257, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5205307, b_ADM1_PT: Goiás, b_ADM2_PT: Cavalcante, au_area_km2: 6951.96

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 262, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5213509, b_ADM1_PT: Goiás, b_ADM2_PT: Monte Alegre de Goiás, au_area_km2: 3120.0

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 264, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5219605, b_ADM1_PT: Goiás, b_ADM2_PT: Santa Tereza de Goiás, au_area_km2: 794.53

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 265, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5218003, b_ADM1_PT: Goiás, b_ADM2_PT: Porangatu, au_area_km2: 4819.94

